age,region,login_count_30d,total_spend,complaint_count,membership_level,tenure_months,churn
23,east,13.0,535.49,0,basic,63,0
62,south,14.0,646.39,0,basic,20,0
55,west,6.0,135.28,0,basic,63,1
43,south,11.0,610.52,0,silver,51,0
43,west,9.0,,0,platinum,10,0
67,south,15.0,454.33,0,gold,55,0
22,west,16.0,477.98,3,basic,52,0
58,north,15.0,460.24,0,basic,33,0
29,south,12.0,578.93,2,basic,12,1
23,east,18.0,199.41,0,platinum,35,0
48,south,12.0,417.92,0,basic,44,0
74,south,15.0,437.92,1,basic,10,1
60,west,12.0,367.63,0,silver,25,0
62,west,18.0,809.11,2,silver,51,0
59,east,11.0,371.19,0,basic,40,0
63,south,9.0,340.08,2,gold,72,0
47,south,8.0,1006.74,1,basic,16,0
25,east,10.0,902.09,1,basic,57,0
66,north,11.0,668.5,1,basic,31,0
44,north,12.0,593.06,0,silver,17,0
47,south,9.0,219.92,0,platinum,69,0
39,east,9.0,1171.95,0,silver,45,0
28,west,13.0,462.05,0,gold,39,0
71,east,18.0,585.99,0,basic,22,0
63,west,12.0,887.18,1,gold,64,0
55,east,10.0,851.19,1,platinum,3,1
41,south,17.0,690.27,2,silver,9,0
65,north,9.0,551.87,1,platinum,13,1
49,south,12.0,693.54,0,silver,48,0
43,west,12.0,724.13,0,gold,8,0
44,west,11.0,326.99,0,basic,58,0
31,west,10.0,518.4,0,silver,15,1
23,north,7.0,880.11,0,silver,49,0
50,east,16.0,349.07,0,platinum,58,0
69,,9.0,758.26,3,platinum,64,0
21,north,12.0,568.63,0,silver,22,0
67,south,10.0,546.94,0,platinum,6,0
66,south,14.0,1375.25,1,platinum,55,0
34,south,5.0,1155.65,0,silver,33,0
54,west,13.0,272.45,0,basic,69,0
27,south,16.0,412.36,0,basic,14,0
61,west,13.0,629.37,0,basic,42,0
58,north,11.0,1194.03,0,basic,9,0
38,north,17.0,518.0,0,platinum,35,0
21,south,8.0,684.63,2,basic,1,1
74,west,14.0,725.08,2,gold,55,0
43,north,12.0,1186.59,1,silver,44,0
69,east,12.0,380.83,1,silver,7,1
57,south,9.0,627.85,2,basic,36,1
63,north,10.0,847.96,0,silver,31,0
62,east,13.0,351.47,0,silver,49,0
29,west,14.0,695.9,1,silver,36,1
39,south,12.0,642.46,0,basic,34,0
45,north,9.0,1055.28,1,gold,60,0
46,west,9.0,988.47,0,basic,38,0
20,east,11.0,1127.45,0,silver,59,0
49,west,20.0,777.67,1,silver,64,0
26,east,12.0,1095.28,0,basic,62,0
61,south,16.0,393.09,0,gold,69,0
57,east,13.0,862.64,1,basic,51,0
71,east,13.0,455.42,2,platinum,41,0
61,west,15.0,235.33,0,platinum,39,0
39,north,12.0,382.87,1,silver,15,1
74,north,15.0,496.04,0,basic,60,0
41,east,8.0,431.98,0,basic,50,0
36,south,15.0,1548.89,0,platinum,63,0
70,west,16.0,789.87,3,silver,51,0
39,west,16.0,995.83,2,basic,35,0
22,east,9.0,413.31,1,silver,22,1
45,east,10.0,210.13,0,basic,71,0
64,north,12.0,1658.28,1,silver,53,0
28,south,10.0,165.1,0,silver,63,0
44,west,16.0,394.85,0,basic,43,0
25,south,16.0,900.38,1,gold,37,0
57,south,20.0,505.65,3,basic,3,1
45,east,12.0,704.33,1,silver,5,0
37,west,8.0,346.75,0,silver,51,0
31,east,4.0,784.1,2,platinum,17,1
50,north,8.0,282.85,2,silver,6,1
56,east,11.0,94.54,0,platinum,56,1
72,north,10.0,468.48,0,silver,45,0
43,north,13.0,873.13,0,gold,9,0
27,north,14.0,443.65,0,basic,36,0
66,east,11.0,729.82,0,gold,34,0
54,south,16.0,1555.69,0,basic,1,0
58,east,12.0,815.41,0,platinum,44,0
23,east,10.0,759.64,2,platinum,29,0
36,west,7.0,988.16,0,silver,64,0
62,south,19.0,637.57,0,silver,9,0
66,east,13.0,453.0,0,silver,61,0
43,east,10.0,1105.39,0,basic,1,0
64,west,26.0,967.3,0,gold,56,0
66,north,11.0,397.64,0,gold,57,0
40,east,8.0,562.06,1,silver,30,1
70,west,11.0,818.98,1,basic,21,0
34,east,10.0,249.54,0,platinum,11,0
31,south,7.0,817.47,1,basic,25,0
57,south,19.0,769.68,2,silver,49,0
54,south,12.0,311.71,0,basic,53,0
26,east,11.0,1421.7,1,basic,14,0
66,north,9.0,525.79,0,basic,1,0
29,east,16.0,499.23,0,silver,41,0
64,north,10.0,1013.71,2,silver,42,0
18,west,11.0,1113.21,0,silver,71,0
64,east,24.0,361.75,2,gold,55,0
63,,10.0,603.08,0,gold,40,0
63,south,11.0,199.96,3,basic,43,1
56,south,14.0,985.17,0,basic,47,0
45,east,,641.99,0,silver,33,0
58,east,10.0,271.69,0,gold,49,0
34,west,14.0,428.29,1,silver,15,0
63,south,10.0,343.41,3,basic,60,1
50,west,13.0,414.7,1,gold,63,1
44,west,17.0,212.35,0,basic,32,0
47,south,7.0,1255.03,0,silver,33,0
50,north,15.0,369.66,2,basic,36,0
20,south,13.0,658.97,0,gold,59,0
26,north,10.0,815.29,0,silver,13,1
32,south,12.0,1114.01,0,gold,25,0
24,west,8.0,670.8,1,basic,45,0
43,east,9.0,570.38,1,silver,50,0
56,east,7.0,685.44,0,basic,22,1
55,north,9.0,360.57,0,gold,9,0
45,west,10.0,377.42,2,basic,37,0
67,north,11.0,563.37,0,basic,46,0
50,north,10.0,165.91,3,gold,56,0
22,north,6.0,453.08,1,basic,1,1
62,north,9.0,508.53,1,basic,2,1
51,east,12.0,1563.79,3,gold,28,0
54,east,10.0,1185.7,3,gold,41,0
50,east,17.0,813.79,0,gold,1,0
50,north,10.0,,0,basic,13,0
23,north,15.0,375.61,3,silver,31,0
50,east,14.0,694.97,0,gold,21,0
64,north,13.0,936.33,0,basic,52,0
35,south,7.0,377.55,1,gold,3,0
52,north,11.0,278.42,2,basic,64,1
19,east,11.0,770.68,0,platinum,13,0
38,east,11.0,297.45,1,silver,32,1
43,east,17.0,851.54,0,silver,72,0
74,,17.0,1104.53,0,silver,48,0
30,north,10.0,384.43,0,basic,72,0
34,west,11.0,401.33,2,basic,2,1
41,north,12.0,1088.41,1,gold,52,0
75,east,10.0,672.68,2,silver,6,1
67,east,11.0,1016.75,0,silver,45,0
20,east,16.0,574.36,0,basic,24,0
31,east,12.0,597.3,1,gold,56,0
65,south,16.0,663.65,1,silver,9,1
21,west,7.0,1405.7,0,basic,65,0
67,east,14.0,977.4,1,platinum,35,0
34,east,13.0,,1,silver,38,0
71,north,9.0,720.8,0,silver,42,0
35,east,17.0,553.26,0,platinum,3,0
43,south,10.0,499.23,0,silver,23,0
56,north,14.0,839.59,0,platinum,52,0
25,east,8.0,,2,gold,70,0
