age,region,login_count_30d,total_spend,complaint_count,membership_level,tenure_months,churn
67,south,10.0,857.64,2,basic,25,1
28,west,10.0,464.68,1,basic,51,0
19,west,13.0,244.71,1,basic,16,1
55,east,7.0,,1,platinum,42,0
39,west,10.0,224.42,0,basic,2,0
45,south,16.0,534.15,2,gold,19,0
22,west,11.0,501.56,1,platinum,52,0
39,north,14.0,623.1,2,silver,36,0
55,west,7.0,359.5,1,basic,1,1
38,south,12.0,791.01,0,platinum,11,0
66,north,7.0,652.46,0,platinum,41,0
63,east,20.0,568.95,0,basic,12,0
58,north,14.0,948.36,0,silver,36,0
70,south,17.0,804.81,1,gold,23,0
59,south,14.0,487.55,0,basic,68,0
28,south,14.0,382.54,0,silver,19,0
67,west,13.0,581.08,0,silver,6,0
55,south,25.0,621.81,2,basic,25,0
23,north,13.0,452.18,1,gold,53,0
35,south,18.0,1067.07,3,silver,54,0
27,east,9.0,578.02,0,gold,12,0
74,north,9.0,959.33,0,gold,2,0
60,east,10.0,973.76,0,silver,63,0
71,east,12.0,1182.13,1,basic,47,0
34,west,16.0,575.05,0,gold,34,1
54,west,8.0,1177.38,3,silver,8,1
53,north,5.0,985.48,1,silver,6,0
61,east,15.0,1152.82,0,basic,72,0
24,west,13.0,689.4,1,gold,28,0
47,south,10.0,691.82,0,gold,8,0
55,west,9.0,884.37,1,platinum,17,0
65,south,17.0,1045.38,1,silver,42,0
56,north,13.0,1039.39,1,basic,68,0
44,east,9.0,78.07,0,platinum,55,0
44,east,11.0,744.22,1,basic,55,0
37,west,13.0,751.97,0,silver,5,1
27,east,8.0,655.11,1,silver,2,1
34,north,11.0,586.97,2,silver,25,0
26,south,13.0,771.26,1,basic,34,0
31,east,10.0,786.94,0,silver,40,0
67,east,9.0,744.42,2,gold,55,0
48,west,12.0,1297.95,2,silver,61,0
23,south,15.0,314.47,0,basic,7,0
42,south,8.0,200.26,0,basic,32,1
33,west,11.0,774.7,2,basic,68,0
56,south,8.0,765.26,2,platinum,18,1
66,west,10.0,1012.79,0,basic,43,0
18,south,12.0,252.38,0,gold,52,0
45,south,14.0,745.34,0,silver,72,0
43,east,11.0,335.8,1,silver,3,1
75,north,10.0,470.09,1,basic,35,0
39,east,9.0,1193.05,1,basic,52,0
27,north,16.0,564.09,1,silver,33,1
29,north,11.0,1255.93,2,basic,12,0
45,south,7.0,968.99,1,platinum,67,0
52,south,12.0,327.98,0,gold,35,0
36,north,12.0,,1,basic,31,0
43,north,13.0,472.79,0,basic,28,1
56,south,4.0,511.89,0,gold,30,1
35,east,14.0,433.2,1,gold,24,0
73,south,9.0,660.69,0,silver,24,0
30,north,15.0,1274.76,0,platinum,42,0
