age,region,login_count_30d,total_spend,complaint_count,membership_level,tenure_months,churn
23,south,18.0,1224.82,0,basic,14,0
62,south,7.0,789.19,0,silver,20,0
55,north,14.0,702.65,1,gold,62,0
43,east,15.0,986.59,0,basic,65,0
43,north,10.0,439.2,0,silver,67,0
67,east,15.0,903.49,1,silver,31,1
22,east,10.0,784.34,2,silver,55,0
58,north,8.0,539.05,0,gold,24,0
29,north,19.0,799.38,0,gold,54,0
23,south,11.0,1292.39,0,gold,37,0
48,north,15.0,238.11,0,basic,4,0
74,west,13.0,366.92,0,silver,31,0
60,south,13.0,570.04,0,silver,34,0
62,east,16.0,897.47,1,basic,19,0
59,south,11.0,775.04,0,basic,27,0
63,north,10.0,895.96,0,basic,37,0
47,west,15.0,542.19,2,silver,4,0
25,east,10.0,672.51,0,silver,11,1
66,south,14.0,1089.93,1,basic,56,0
44,north,8.0,732.39,0,gold,26,0
47,east,14.0,841.74,0,platinum,44,0
39,east,13.0,659.52,0,basic,41,0
28,west,9.0,485.81,0,platinum,40,0
71,south,18.0,922.1,0,basic,30,0
63,east,7.0,1055.8,1,platinum,35,1
55,east,15.0,695.76,0,platinum,60,0
41,east,16.0,405.94,0,basic,70,0
65,east,15.0,865.24,0,gold,19,0
49,east,9.0,822.58,0,platinum,49,0
43,north,5.0,592.13,0,platinum,70,0
44,west,14.0,1912.39,0,platinum,1,0
31,west,6.0,1308.48,2,silver,57,0
23,north,15.0,812.11,3,basic,36,0
50,south,13.0,825.46,3,gold,70,0
69,north,19.0,1298.73,0,silver,42,0
21,south,13.0,1132.22,0,silver,61,0
67,east,8.0,639.45,0,silver,12,0
66,south,11.0,829.59,0,silver,11,0
34,south,7.0,,0,basic,67,0
54,south,9.0,345.54,1,gold,38,1
27,north,11.0,249.16,1,basic,41,1
61,west,13.0,741.29,0,gold,13,0
58,north,11.0,1288.61,5,gold,17,1
38,north,13.0,609.23,0,silver,59,0
21,south,12.0,681.57,0,silver,22,0
74,east,13.0,529.03,2,basic,43,1
43,west,14.0,258.11,1,platinum,23,1
69,west,14.0,569.15,0,gold,19,0
57,east,15.0,662.94,0,silver,12,0
63,west,11.0,724.14,0,basic,67,0
62,east,10.0,1179.32,1,basic,68,0
29,east,18.0,845.56,2,silver,9,0
39,east,12.0,1187.29,0,platinum,26,0
45,west,10.0,895.1,1,gold,41,0
46,north,12.0,855.8,1,basic,28,0
20,north,6.0,932.18,2,gold,52,0
49,east,5.0,422.26,0,silver,19,1
26,west,10.0,994.03,1,gold,5,0
61,west,10.0,570.72,0,basic,25,0
57,south,16.0,580.55,0,silver,44,0
71,west,8.0,687.6,0,platinum,14,0
61,west,7.0,543.15,2,basic,59,1
39,east,15.0,374.53,1,gold,1,1
74,east,14.0,661.07,0,platinum,5,0
41,south,11.0,582.01,2,basic,37,0
36,south,12.0,571.19,0,basic,37,0
70,east,8.0,626.65,1,gold,22,1
39,north,11.0,,0,basic,19,0
22,south,15.0,573.41,0,basic,6,0
45,east,12.0,1259.97,1,silver,48,0
64,west,4.0,1211.15,0,gold,28,1
28,north,10.0,,0,basic,9,0
44,north,13.0,661.31,0,basic,29,0
25,west,6.0,139.87,0,gold,68,0
57,north,16.0,489.93,2,silver,19,1
45,north,14.0,927.58,1,gold,65,0
37,south,15.0,536.22,0,silver,19,0
31,west,11.0,1082.57,1,platinum,14,0
50,north,10.0,1050.51,2,gold,19,0
56,east,12.0,484.77,0,basic,24,0
72,south,16.0,698.86,0,platinum,9,0
43,west,18.0,1308.99,0,silver,43,0
27,east,16.0,282.03,0,basic,25,0
66,north,12.0,542.54,0,basic,52,0
54,north,7.0,264.86,3,gold,36,1
58,,18.0,405.53,0,basic,32,0
23,north,8.0,1496.15,0,basic,34,0
36,south,8.0,542.45,0,basic,12,1
62,north,18.0,196.59,1,silver,52,0
66,east,10.0,372.35,0,silver,8,1
43,south,14.0,247.82,1,silver,52,1
64,south,12.0,712.56,0,basic,72,0
66,north,17.0,814.6,0,basic,56,0
40,west,16.0,1000.59,2,silver,33,0
70,south,14.0,903.04,3,silver,23,1
34,south,12.0,290.18,0,gold,63,0
31,north,10.0,794.11,1,basic,19,0
57,north,15.0,612.59,1,basic,35,0
54,west,7.0,1071.73,0,basic,56,0
26,east,15.0,953.78,3,silver,67,0
66,east,15.0,1592.57,1,silver,67,0
29,east,13.0,389.39,2,gold,7,1
64,south,4.0,358.31,0,silver,65,0
18,west,14.0,506.2,0,silver,9,1
64,east,4.0,625.33,0,silver,43,0
63,west,13.0,453.82,1,basic,67,0
63,north,14.0,400.9,1,silver,48,0
56,south,11.0,767.95,2,basic,69,0
45,south,14.0,505.37,2,silver,25,0
58,north,16.0,443.34,0,basic,23,0
34,north,16.0,289.86,5,gold,24,1
63,east,13.0,148.6,1,platinum,26,1
50,west,8.0,1230.11,1,basic,50,0
44,south,10.0,1212.24,0,silver,33,0
47,west,10.0,968.14,1,gold,54,0
50,west,7.0,857.56,1,basic,30,0
20,east,13.0,480.53,2,gold,23,1
26,south,18.0,875.02,1,silver,14,0
32,north,7.0,343.72,1,platinum,40,1
24,north,5.0,690.27,1,platinum,65,0
43,west,13.0,422.79,0,basic,62,0
56,south,15.0,876.83,1,silver,19,1
55,north,10.0,1352.4,0,silver,35,0
45,east,,371.54,0,basic,51,1
67,south,18.0,493.38,0,basic,45,0
50,west,15.0,683.71,1,platinum,5,0
22,south,14.0,212.43,0,basic,43,1
62,east,9.0,255.22,1,silver,3,1
51,east,10.0,1332.99,1,gold,9,0
54,east,11.0,769.65,3,basic,48,1
50,south,15.0,466.21,1,silver,8,0
50,west,13.0,646.81,0,platinum,25,0
23,east,,507.35,0,silver,43,0
50,north,7.0,694.15,0,basic,48,0
64,north,9.0,517.56,2,basic,33,1
35,south,11.0,620.99,1,platinum,7,0
52,west,10.0,915.51,0,basic,58,0
19,north,7.0,886.45,0,silver,69,0
38,north,9.0,1296.19,1,basic,64,0
43,south,11.0,797.11,2,silver,54,0
74,north,16.0,668.08,1,platinum,29,0
30,west,12.0,1390.68,3,silver,64,0
34,east,10.0,587.67,0,platinum,36,0
41,,9.0,158.93,0,basic,10,1
75,west,9.0,974.06,0,silver,62,0
67,north,14.0,750.14,0,gold,24,0
20,east,14.0,652.02,0,silver,68,0
31,north,4.0,986.79,1,basic,27,0
65,north,18.0,519.94,0,gold,63,0
21,north,8.0,164.52,1,silver,39,0
67,north,7.0,996.41,1,silver,34,0
34,north,9.0,457.27,2,platinum,22,0
71,north,13.0,380.05,1,basic,61,1
35,south,13.0,170.72,0,basic,5,1
43,south,11.0,955.42,0,basic,34,0
56,east,16.0,121.05,0,silver,27,0
25,east,15.0,1182.68,1,basic,40,0
50,east,9.0,547.32,0,gold,19,0
47,west,10.0,977.97,0,basic,48,0
63,west,14.0,809.25,1,gold,28,0
75,north,15.0,1516.76,2,basic,14,0
56,north,17.0,798.28,1,silver,15,0
41,north,7.0,1161.2,0,basic,51,0
41,north,14.0,484.98,2,gold,19,1
42,south,17.0,254.58,1,silver,23,1
65,east,13.0,1052.77,1,silver,46,0
36,north,10.0,249.86,1,gold,24,1
27,east,16.0,950.22,0,silver,28,0
37,east,13.0,354.54,1,basic,18,0
19,north,17.0,757.54,1,platinum,25,0
24,west,13.0,1530.77,0,basic,50,0
23,north,11.0,913.72,0,basic,39,0
62,west,14.0,589.02,0,silver,72,0
59,north,11.0,818.7,0,basic,56,0
58,west,12.0,494.59,0,basic,2,1
44,west,11.0,1819.17,1,gold,28,0
59,west,8.0,438.41,1,basic,21,1
27,west,9.0,623.09,1,gold,43,1
70,south,11.0,873.39,1,platinum,20,0
47,,15.0,789.15,1,silver,70,0
72,south,16.0,834.07,1,gold,22,0
26,north,7.0,500.19,1,gold,38,1
46,east,15.0,576.28,1,platinum,9,0
58,east,11.0,1028.88,1,basic,66,0
46,west,13.0,1003.92,0,basic,66,0
43,east,11.0,798.64,1,silver,58,0
27,east,19.0,1232.03,0,silver,26,0
40,south,8.0,1049.07,0,basic,5,0
31,east,11.0,989.01,0,silver,52,0
35,north,8.0,246.92,0,basic,31,1
57,east,9.0,793.79,0,platinum,72,0
54,east,9.0,,2,basic,51,0
53,north,8.0,1309.35,1,basic,39,0
38,east,12.0,82.95,1,basic,72,0
73,east,20.0,604.86,1,basic,58,0
23,east,12.0,693.0,1,basic,34,0
37,east,9.0,351.86,1,basic,2,1
24,south,6.0,391.99,1,basic,7,1
37,east,10.0,1311.41,3,basic,32,0
73,west,7.0,832.47,0,silver,41,0
39,west,13.0,1532.47,0,silver,3,0
70,east,8.0,599.07,0,basic,10,0
46,east,13.0,283.57,3,basic,51,1
58,east,10.0,554.51,3,basic,55,1
44,west,11.0,504.63,1,basic,3,1
33,south,15.0,929.56,0,basic,37,0
62,west,19.0,911.09,0,gold,6,0
74,east,17.0,853.16,4,platinum,53,0
33,south,8.0,1765.43,0,platinum,61,0
63,east,11.0,1196.99,1,silver,63,0
33,south,17.0,407.7,1,silver,44,0
59,north,12.0,1066.01,0,basic,46,0
63,south,9.0,669.71,1,gold,67,0
44,west,15.0,590.42,0,gold,45,0
60,north,12.0,1270.33,0,gold,33,0
33,south,12.0,393.06,0,platinum,55,0
22,north,7.0,1031.13,1,silver,43,0
23,south,20.0,951.74,0,gold,61,0
43,north,20.0,388.79,1,gold,38,0
70,west,13.0,241.55,0,basic,63,0
25,north,9.0,631.65,0,platinum,4,0
44,west,10.0,75.53,0,basic,3,1
58,west,12.0,1126.6,1,platinum,8,0
29,south,12.0,792.25,0,gold,41,0
59,south,15.0,1290.44,0,basic,52,0
35,south,10.0,765.1,1,gold,16,1
64,west,10.0,1332.79,1,basic,12,0
51,east,13.0,475.92,1,gold,62,0
49,south,15.0,851.81,0,gold,55,0
