age,region,login_count_30d,total_spend,complaint_count,membership_level,tenure_months,churn
51,south,15.0,839.51,1,basic,1,0
75,north,5.0,429.09,1,gold,55,1
64,east,6.0,577.86,0,silver,48,1
44,east,8.0,387.76,1,basic,40,0
23,east,16.0,416.48,0,basic,47,0
23,south,10.0,399.94,0,silver,68,0
68,west,12.0,1033.77,3,basic,43,0
33,north,10.0,746.85,0,silver,43,0
66,,8.0,309.78,0,basic,47,1
62,west,12.0,204.97,2,basic,57,1
18,north,24.0,499.73,1,basic,22,0
25,east,14.0,976.4,1,basic,63,0
44,south,12.0,450.32,1,gold,22,1
32,west,16.0,380.03,2,basic,47,1
66,east,13.0,755.13,1,basic,6,1
20,east,10.0,1063.64,1,silver,61,0
39,east,11.0,518.21,0,silver,16,0
50,north,12.0,707.88,0,gold,70,0
54,east,10.0,857.01,0,platinum,55,0
20,north,13.0,356.81,1,basic,44,0
28,west,9.0,498.14,0,basic,18,0
41,east,19.0,376.31,0,silver,27,0
49,west,13.0,404.14,1,basic,19,1
34,west,10.0,781.85,1,silver,33,0
20,south,17.0,222.0,0,silver,12,0
52,south,11.0,201.63,0,silver,42,0
62,west,17.0,468.55,1,basic,61,0
52,west,12.0,614.51,0,silver,22,0
48,north,13.0,787.95,0,silver,63,0
59,north,15.0,818.37,1,basic,32,0
46,east,,1442.7,0,silver,9,0
40,south,14.0,1001.86,1,silver,41,0
31,north,18.0,1082.34,0,gold,31,0
42,west,18.0,534.07,2,basic,2,0
54,north,12.0,501.48,0,gold,59,0
55,west,14.0,354.4,1,platinum,30,0
59,east,11.0,1471.22,1,basic,18,0
50,north,7.0,2125.97,1,silver,64,0
35,east,14.0,345.56,0,platinum,21,0
64,south,21.0,737.64,1,silver,39,0
40,south,12.0,539.39,0,basic,22,0
41,north,12.0,442.3,1,platinum,61,1
41,south,9.0,69.66,0,basic,55,0
73,north,15.0,791.84,0,basic,17,0
71,west,13.0,729.54,0,platinum,53,0
49,north,8.0,329.05,1,gold,64,0
49,east,17.0,527.51,1,gold,25,0
39,south,6.0,384.89,2,gold,41,1
56,west,14.0,447.81,0,gold,71,0
25,east,10.0,1249.11,1,gold,66,0
44,north,6.0,716.2,0,platinum,15,1
33,east,16.0,1110.99,0,basic,66,0
66,south,17.0,728.01,2,gold,71,0
27,north,17.0,936.27,2,platinum,15,0
43,south,7.0,356.66,1,platinum,65,0
74,north,13.0,833.03,2,silver,59,0
21,north,16.0,642.59,2,basic,71,0
36,east,15.0,1174.5,2,basic,23,0
68,east,13.0,1624.39,1,silver,18,0
23,south,16.0,424.46,1,basic,26,0
30,north,6.0,339.12,1,silver,66,1
49,north,12.0,657.18,1,gold,38,0
66,north,13.0,1606.55,2,basic,35,0
58,south,12.0,428.03,3,gold,58,0
40,south,19.0,1333.65,1,basic,9,0
45,north,13.0,521.94,0,gold,9,0
72,east,8.0,488.99,0,platinum,11,1
64,north,10.0,440.68,1,basic,45,1
25,south,11.0,700.21,0,gold,22,0
38,north,19.0,341.31,1,platinum,22,1
72,south,9.0,1873.2,2,basic,33,0
55,south,11.0,870.54,1,silver,72,0
44,west,12.0,217.99,0,gold,43,0
18,north,14.0,1085.25,0,silver,54,0
46,west,15.0,440.53,0,basic,9,0
38,north,19.0,170.52,2,gold,34,1
70,north,19.0,1174.92,0,gold,15,0
29,north,13.0,1075.62,1,basic,3,0
46,west,14.0,821.73,0,silver,71,0
30,north,11.0,808.07,3,basic,34,0
41,east,15.0,1456.48,1,basic,31,0
75,north,9.0,618.7,1,basic,23,1
32,west,14.0,937.45,1,silver,24,0
68,west,16.0,827.19,1,basic,20,0
43,south,9.0,203.3,1,silver,35,0
70,east,12.0,349.51,1,basic,55,0
74,south,9.0,778.02,0,basic,21,0
63,south,11.0,432.96,0,platinum,72,0
25,north,9.0,1579.87,4,gold,2,0
25,north,14.0,1756.63,0,basic,43,0
59,west,19.0,1036.98,1,basic,53,0
64,west,19.0,839.5,0,basic,54,0
19,west,6.0,773.8,1,basic,69,0
46,east,9.0,1219.56,0,gold,61,0
40,east,9.0,1493.12,2,basic,56,0
72,south,14.0,214.35,0,silver,36,1
57,east,11.0,511.32,0,basic,21,0
68,east,12.0,727.86,0,gold,1,0
51,east,10.0,701.28,0,basic,26,0
37,south,6.0,601.32,0,silver,9,1
22,east,13.0,317.6,0,gold,12,0
56,west,10.0,1247.46,0,gold,69,0
46,south,13.0,712.58,0,basic,44,0
57,west,12.0,722.65,1,gold,31,0
41,east,14.0,582.3,0,basic,46,0
40,east,15.0,629.56,0,platinum,63,0
66,north,10.0,718.54,0,basic,6,0
65,west,16.0,1252.05,0,silver,44,0
57,north,13.0,998.16,1,basic,6,0
35,north,8.0,1880.83,1,basic,58,0
75,east,12.0,522.19,0,silver,32,0
42,south,9.0,233.75,0,silver,32,0
19,west,11.0,910.06,0,basic,72,0
35,south,10.0,548.52,1,silver,4,1
38,south,12.0,920.08,0,silver,19,0
18,east,12.0,908.83,1,gold,62,0
55,west,13.0,1582.54,1,gold,35,0
52,south,12.0,1144.17,0,basic,36,0
35,west,12.0,663.01,1,basic,70,0
74,north,13.0,319.44,2,basic,59,1
67,north,12.0,739.27,0,basic,16,0
59,west,13.0,799.91,3,gold,7,1
75,north,,405.46,2,basic,19,0
65,south,12.0,1078.89,1,silver,44,0
44,west,17.0,664.72,0,silver,41,0
24,east,8.0,306.9,1,basic,39,0
35,east,6.0,480.78,2,basic,47,1
31,south,26.0,1309.99,0,silver,72,0
