age,region,login_count_30d,total_spend,complaint_count,membership_level,tenure_months,churn
19,west,15.0,497.14,1,basic,15,1
20,north,13.0,356.81,1,basic,44,0
69,east,13.0,528.76,0,gold,48,0
66,east,11.0,1668.28,0,gold,1,0
28,north,14.0,1038.66,1,basic,14,0
58,south,10.0,281.37,1,basic,63,0
46,east,16.0,1143.27,0,basic,7,0
45,north,9.0,643.05,0,silver,68,0
66,west,7.0,883.25,0,platinum,5,0
66,west,12.0,709.93,2,silver,71,0
54,west,9.0,930.52,2,gold,12,1
31,north,13.0,478.31,2,gold,5,1
37,west,15.0,667.74,1,basic,50,0
42,south,11.0,868.31,0,gold,38,0
18,east,16.0,301.66,0,silver,28,0
63,south,11.0,432.96,0,platinum,72,0
74,north,17.0,292.59,1,gold,3,0
27,west,9.0,504.05,0,basic,59,0
61,east,15.0,402.39,0,gold,48,0
74,west,7.0,516.38,0,basic,18,1
40,west,5.0,799.75,1,silver,60,0
56,east,13.0,417.76,0,silver,63,0
19,east,11.0,992.63,2,gold,23,0
29,west,6.0,,0,gold,5,0
22,east,13.0,,1,gold,7,0
73,east,13.0,1572.12,0,silver,4,0
73,south,9.0,1142.35,2,silver,37,0
43,south,14.0,494.37,3,basic,27,0
34,north,12.0,1070.96,1,silver,40,0
65,east,11.0,960.88,1,platinum,16,1
19,west,10.0,1398.2,0,basic,23,0
25,east,14.0,976.4,1,basic,63,0
22,east,9.0,858.73,2,platinum,48,0
69,east,11.0,586.75,0,gold,3,0
39,north,9.0,373.46,0,silver,68,0
73,north,12.0,779.9,4,gold,67,0
65,east,12.0,615.65,0,basic,58,0
28,north,15.0,516.61,0,gold,4,0
25,south,10.0,859.82,0,basic,70,0
18,north,7.0,352.96,1,silver,60,1
70,west,21.0,979.59,0,basic,23,0
53,north,11.0,605.12,0,basic,69,0
26,west,3.0,422.68,0,basic,51,1
62,south,11.0,,0,basic,48,0
63,north,7.0,157.97,1,silver,53,1
63,north,14.0,302.81,2,basic,32,1
36,south,13.0,586.29,1,silver,42,0
32,east,10.0,414.33,1,basic,27,1
30,south,18.0,793.7,2,platinum,57,0
44,west,15.0,724.43,0,gold,34,0
41,south,12.0,1431.24,0,basic,52,0
59,north,15.0,980.18,0,silver,5,0
51,west,13.0,711.45,1,gold,5,0
25,east,11.0,303.14,1,platinum,48,0
27,south,6.0,861.34,0,silver,70,0
53,east,10.0,918.62,0,basic,33,0
64,west,7.0,543.39,1,silver,15,1
41,east,5.0,,0,basic,63,0
55,north,14.0,313.5,0,basic,16,1
43,south,11.0,694.38,2,platinum,22,0
46,north,13.0,657.22,0,gold,53,0
21,west,11.0,924.87,1,basic,11,0
45,north,13.0,521.94,0,gold,9,0
27,north,11.0,779.06,0,silver,28,0
61,west,5.0,352.15,1,silver,49,0
37,south,13.0,944.52,1,silver,63,0
59,north,11.0,406.18,2,basic,33,1
38,west,9.0,557.34,0,basic,42,0
49,north,7.0,1197.98,4,gold,17,1
55,north,10.0,1115.6,1,basic,40,0
45,west,9.0,334.7,1,basic,27,1
40,east,,228.17,1,silver,50,0
24,west,9.0,233.53,0,silver,28,0
60,north,13.0,352.62,1,gold,13,1
61,south,18.0,531.6,1,platinum,42,0
26,west,,,1,gold,71,0
43,,12.0,666.85,0,gold,7,0
47,east,9.0,609.48,1,basic,26,0
45,east,17.0,528.63,0,basic,13,1
30,north,5.0,688.81,0,basic,72,0
74,south,4.0,551.64,1,gold,26,1
37,south,9.0,417.41,1,basic,41,1
40,east,5.0,510.34,0,basic,42,0
70,north,11.0,1282.33,2,basic,24,0
53,east,8.0,394.68,0,gold,68,0
29,west,7.0,726.99,2,gold,51,0
70,south,8.0,739.55,1,basic,51,0
52,south,14.0,772.13,3,gold,49,0
58,east,17.0,549.39,0,silver,67,0
46,south,9.0,357.97,1,platinum,23,1
32,west,18.0,1031.63,0,basic,16,0
50,north,9.0,721.98,0,basic,7,1
62,east,20.0,,1,basic,67,0
35,east,13.0,1255.05,3,gold,32,0
58,west,14.0,339.61,0,platinum,33,0
73,west,15.0,495.95,3,silver,18,0
69,west,20.0,557.4,2,basic,3,1
70,north,7.0,630.15,2,gold,24,1
32,north,21.0,739.39,0,basic,58,0
28,south,15.0,1181.15,1,silver,51,0
24,east,13.0,1144.24,0,basic,34,0
57,west,15.0,689.95,1,silver,62,0
34,south,11.0,396.09,1,gold,52,1
53,west,19.0,936.33,1,basic,33,0
62,west,13.0,,0,gold,27,0
30,east,17.0,931.69,0,basic,14,0
70,east,11.0,734.47,0,gold,62,0
55,east,15.0,940.63,1,gold,42,0
23,south,10.0,399.94,0,silver,68,0
52,south,12.0,1144.17,0,basic,36,0
50,north,10.0,331.67,1,silver,30,0
32,south,15.0,739.29,1,gold,12,0
51,south,19.0,638.24,1,gold,64,0
47,east,16.0,932.78,0,platinum,40,0
25,east,10.0,727.79,2,silver,24,0
40,east,19.0,732.82,0,basic,33,0
25,east,16.0,426.33,1,gold,49,0
30,north,10.0,818.19,0,platinum,26,0
51,north,14.0,631.54,1,silver,23,0
40,south,13.0,1192.83,2,basic,29,0
64,north,10.0,440.68,1,basic,45,1
73,south,13.0,1013.3,2,silver,68,0
29,north,11.0,500.23,1,basic,61,0
27,south,14.0,665.14,0,gold,26,0
58,north,20.0,733.68,1,basic,29,0
42,north,15.0,1195.87,0,basic,64,0
29,east,11.0,466.03,0,basic,53,0
57,north,11.0,894.4,1,basic,26,0
38,south,15.0,1841.68,0,silver,37,0
20,north,10.0,112.03,1,gold,66,0
33,north,9.0,456.4,1,gold,27,0
48,north,13.0,499.61,1,silver,57,0
52,south,9.0,728.32,0,gold,27,0
48,north,9.0,518.4,1,gold,16,0
71,south,16.0,773.31,0,basic,2,0
23,south,13.0,,0,silver,49,0
66,west,14.0,589.16,1,basic,32,0
35,east,15.0,737.49,1,silver,45,0
21,south,9.0,947.74,0,platinum,56,0
75,west,8.0,454.62,0,gold,60,0
63,west,18.0,702.75,0,platinum,48,0
74,south,9.0,778.02,0,basic,21,0
53,east,15.0,213.26,0,silver,31,0
31,east,11.0,2211.21,1,basic,72,0
49,north,18.0,801.43,0,platinum,71,0
23,east,13.0,1109.88,0,basic,18,0
46,north,15.0,521.42,0,gold,67,0
19,south,15.0,1075.24,0,basic,70,0
75,east,10.0,1896.73,1,silver,71,0
71,south,7.0,,0,platinum,69,0
68,west,16.0,827.19,1,basic,20,0
74,east,10.0,245.34,1,basic,11,0
37,south,14.0,461.91,0,silver,23,0
21,north,14.0,,0,platinum,61,0
52,south,10.0,,1,gold,13,0
20,south,12.0,484.96,1,basic,13,0
34,west,16.0,1360.77,0,basic,48,0
51,south,10.0,901.7,1,silver,19,1
35,north,15.0,558.39,1,basic,59,0
55,north,9.0,,1,platinum,62,1
58,west,9.0,809.81,1,basic,33,0
43,east,19.0,288.98,1,gold,48,0
50,west,13.0,861.39,0,basic,28,0
54,north,18.0,237.31,2,silver,63,0
23,south,12.0,318.48,2,silver,59,0
40,east,10.0,1017.46,0,basic,7,0
29,east,15.0,431.45,0,gold,52,0
62,east,14.0,608.95,1,silver,9,0
20,east,8.0,1107.78,0,gold,54,0
57,east,7.0,367.46,0,silver,62,1
42,south,13.0,271.31,1,basic,15,1
45,south,18.0,409.59,0,basic,59,0
59,east,9.0,1018.38,1,silver,33,0
18,north,22.0,783.64,1,platinum,16,0
50,south,12.0,721.75,0,basic,14,0
71,east,13.0,505.57,0,silver,71,0
28,south,5.0,465.6,1,gold,61,0
43,south,7.0,356.66,1,platinum,65,0
20,north,11.0,565.8,0,platinum,25,0
65,,15.0,679.01,3,gold,40,0
57,west,14.0,150.98,1,basic,17,1
66,east,13.0,632.67,0,platinum,46,0
66,west,13.0,368.94,2,basic,23,1
37,north,7.0,1594.18,2,silver,5,0
38,east,8.0,339.85,0,platinum,58,0
72,south,12.0,502.72,2,platinum,70,0
36,east,9.0,456.09,2,silver,19,1
53,west,8.0,789.17,1,platinum,71,0
52,west,18.0,859.83,1,basic,1,0
42,south,9.0,233.75,0,silver,32,0
33,south,16.0,213.87,1,platinum,69,0
58,north,13.0,507.48,2,basic,5,0
31,east,13.0,989.24,0,basic,11,0
35,north,,793.29,2,platinum,18,0
38,north,9.0,697.73,0,silver,14,0
52,east,14.0,101.8,1,silver,2,1
52,south,8.0,356.13,1,gold,44,0
45,south,10.0,963.22,2,silver,71,0
32,west,14.0,937.45,1,silver,24,0
72,east,13.0,512.33,1,silver,26,0
74,north,12.0,1055.25,1,gold,32,0
52,south,15.0,808.21,0,silver,64,0
23,north,8.0,643.02,1,basic,72,0
63,south,16.0,1155.25,0,basic,63,0
47,south,12.0,1113.14,1,basic,5,0
47,north,19.0,584.66,1,basic,35,0
63,south,11.0,511.98,0,basic,4,0
50,north,9.0,435.09,3,gold,46,0
41,east,11.0,345.48,1,silver,4,0
51,east,13.0,,0,platinum,72,0
42,south,13.0,1320.34,1,gold,43,0
55,east,24.0,921.88,1,basic,31,0
29,south,9.0,473.39,0,basic,26,0
47,east,9.0,594.48,1,gold,58,0
70,north,18.0,841.27,0,silver,62,0
35,east,12.0,1457.98,0,gold,60,0
31,north,6.0,394.35,0,silver,54,0
56,south,11.0,1073.95,1,basic,34,0
20,north,8.0,504.58,1,basic,36,0
39,north,18.0,364.56,0,gold,67,0
64,east,6.0,577.86,0,silver,48,1
35,east,13.0,495.06,1,basic,31,1
75,west,11.0,715.88,0,basic,25,0
37,north,9.0,396.03,0,basic,66,0
51,north,16.0,566.89,0,platinum,16,0
47,south,15.0,955.92,0,gold,35,0
30,north,15.0,1452.45,3,silver,36,0
54,south,5.0,2277.45,1,silver,1,0
65,east,15.0,592.16,0,gold,69,0
59,west,11.0,607.31,0,basic,19,0
41,south,12.0,486.05,0,gold,56,1
31,north,10.0,292.16,0,platinum,19,0
30,north,16.0,151.45,1,basic,50,0
40,east,9.0,1493.12,2,basic,56,0
58,east,10.0,1110.97,1,gold,60,0
54,east,8.0,713.98,0,gold,32,0
27,north,17.0,936.27,2,platinum,15,0
38,south,8.0,304.17,0,silver,39,0
70,south,9.0,440.17,0,gold,28,1
52,south,11.0,559.29,0,platinum,19,0
35,east,20.0,542.42,0,silver,29,0
64,east,10.0,733.06,2,basic,39,1
66,east,8.0,367.96,1,gold,8,1
23,east,16.0,416.48,0,basic,47,0
43,north,11.0,242.58,0,silver,26,0
71,east,17.0,916.46,1,platinum,60,0
61,east,10.0,558.19,0,platinum,19,0
73,north,12.0,555.07,0,basic,32,0
63,east,9.0,245.32,1,basic,12,1
49,south,15.0,193.08,0,platinum,11,0
55,east,14.0,306.5,1,gold,48,0
21,east,6.0,387.46,0,silver,62,0
74,south,10.0,697.71,0,basic,68,0
35,south,10.0,691.84,1,basic,39,0
72,north,14.0,900.84,2,basic,28,0
54,south,10.0,725.99,1,basic,31,1
24,east,6.0,610.31,2,silver,40,1
61,east,10.0,560.01,2,silver,67,0
21,north,7.0,545.6,0,gold,50,0
35,south,11.0,517.29,1,basic,40,1
70,south,19.0,380.5,0,platinum,55,0
72,,11.0,699.99,1,gold,66,0
49,south,10.0,975.56,1,silver,51,0
21,east,8.0,302.82,3,silver,13,1
34,west,10.0,781.85,1,silver,33,0
22,north,11.0,397.04,2,basic,39,0
59,west,13.0,799.91,3,gold,7,1
25,north,14.0,1756.63,0,basic,43,0
31,south,16.0,469.47,0,basic,50,0
47,west,8.0,1055.84,1,platinum,49,1
70,north,8.0,330.41,0,basic,60,1
28,south,12.0,1142.9,0,gold,55,0
